Municipality[a],CBS code[2],Province,Population[b][26],Population density[c][26],Land area[d][26]
Nijmegen,268,Gelderland,"179,100","3,392/km2 (8,790/sq mi)",52.21 km2 (20.16 sq mi)
Nissewaard,1930,South Holland,"86,332","1,178/km2 (3,050/sq mi)",73.31 km2 (28.31 sq mi)
Noardeast-Fryslân,1970,Friesland,"45,593",120/km2 (310/sq mi),379.92 km2 (146.69 sq mi)
Noord-Beveland,1695,Zeeland,"7,668",89/km2 (230/sq mi),86 km2 (33.20 sq mi)
Noordenveld,1699,Drenthe,"31,238",157/km2 (410/sq mi),199.91 km2 (77.19 sq mi)
Noordoostpolder,171,Flevoland,"48,048",105/km2 (270/sq mi),458.89 km2 (177.18 sq mi)
Noordwijk,575,South Holland,"44,365","760/km2 (2,000/sq mi)",58.84 km2 (22.72 sq mi)
"Nuenen, Gerwen en Nederwetten",820,North Brabant,"23,826","708/km2 (1,830/sq mi)",33.35 km2 (12.88 sq mi)
Nunspeet,302,Gelderland,"28,223",219/km2 (570/sq mi),128.83 km2 (49.74 sq mi)
Oegstgeest,579,South Holland,"25,499","3,496/km2 (9,050/sq mi)",7.79 km2 (3.01 sq mi)
Oirschot,823,North Brabant,"19,061",187/km2 (480/sq mi),101.19 km2 (39.07 sq mi)
Oisterwijk,824,North Brabant,"32,503","406/km2 (1,050/sq mi)",80.01 km2 (30.89 sq mi)
Oldambt,1895,Groningen,"38,521",170/km2 (440/sq mi),226.67 km2 (87.52 sq mi)
Oldebroek,269,Gelderland,"23,930",245/km2 (630/sq mi),97.76 km2 (37.75 sq mi)
Oldenzaal,173,Overijssel,"31,741","1,473/km2 (3,820/sq mi)",21.15 km2 (8.17 sq mi)
Olst-Wijhe,1773,Overijssel,"18,496",163/km2 (420/sq mi),113.36 km2 (43.77 sq mi)
Ommen,175,Overijssel,"18,457",103/km2 (270/sq mi),179.95 km2 (69.48 sq mi)
Oost Gelre,1586,Gelderland,"29,603",269/km2 (700/sq mi),109.93 km2 (42.44 sq mi)
Oosterhout,826,North Brabant,"56,535","791/km2 (2,050/sq mi)",71.13 km2 (27.46 sq mi)
Ooststellingwerf,85,Friesland,"25,680",115/km2 (300/sq mi),223.3 km2 (86.22 sq mi)
Oostzaan,431,North Holland,"9,639","834/km2 (2,160/sq mi)",11.16 km2 (4.31 sq mi)
Opmeer,432,North Holland,"12,074",291/km2 (750/sq mi),41.18 km2 (15.90 sq mi)
Opsterland,86,Friesland,"29,791",133/km2 (340/sq mi),224.4 km2 (86.64 sq mi)
Oss,828,North Brabant,"93,307","576/km2 (1,490/sq mi)",162.21 km2 (62.63 sq mi)
Oude IJsselstreek,1509,Gelderland,"39,387",289/km2 (750/sq mi),136.67 km2 (52.77 sq mi)
Ouder-Amstel,437,North Holland,"14,212","593/km2 (1,540/sq mi)",23.35 km2 (9.02 sq mi)
Oudewater,589,Utrecht,"10,159",261/km2 (680/sq mi),38.8 km2 (14.98 sq mi)
Overbetuwe,1734,Gelderland,"48,266","443/km2 (1,150/sq mi)",109.93 km2 (42.44 sq mi)
Papendrecht,590,South Holland,"32,208","3,421/km2 (8,860/sq mi)",9.91 km2 (3.83 sq mi)
Peel en Maas,1894,Limburg,"44,278",278/km2 (720/sq mi),159.95 km2 (61.76 sq mi)
Pekela,765,Groningen,"12,196",249/km2 (640/sq mi),49.94 km2 (19.28 sq mi)
Pijnacker-Nootdorp,1926,South Holland,"56,572","1,534/km2 (3,970/sq mi)",36.67 km2 (14.16 sq mi)
Purmerend,439,North Holland,"92,240","985/km2 (2,550/sq mi)",93.31 km2 (36.03 sq mi)
Putten,273,Gelderland,"24,598",289/km2 (750/sq mi),85.51 km2 (33.02 sq mi)
Raalte,177,Overijssel,"38,140",223/km2 (580/sq mi),170.07 km2 (65.66 sq mi)
Reimerswaal,703,Zeeland,"22,920",225/km2 (580/sq mi),101.16 km2 (39.06 sq mi)
Renkum,274,Gelderland,"31,358","682/km2 (1,770/sq mi)",45.56 km2 (17.59 sq mi)
Renswoude,339,Utrecht,"5,651",307/km2 (800/sq mi),18.89 km2 (7.29 sq mi)
Reusel-De Mierden,1667,North Brabant,"13,271",171/km2 (440/sq mi),77.71 km2 (30.00 sq mi)
Rheden,275,Gelderland,"43,435","531/km2 (1,380/sq mi)",81.17 km2 (31.34 sq mi)
Rhenen,340,Utrecht,"20,265","482/km2 (1,250/sq mi)",42.22 km2 (16.30 sq mi)
Ridderkerk,597,South Holland,"47,099","2,006/km2 (5,200/sq mi)",23.38 km2 (9.03 sq mi)
Rijssen-Holten,1742,Overijssel,"38,231","406/km2 (1,050/sq mi)",94.42 km2 (36.46 sq mi)
Rijswijk,603,South Holland,"56,941","4,078/km2 (10,560/sq mi)",13.36 km2 (5.16 sq mi)
Roerdalen,1669,Limburg,"20,558",233/km2 (600/sq mi),88.81 km2 (34.29 sq mi)
Roermond,957,Limburg,"59,184","976/km2 (2,530/sq mi)",60.04 km2 (23.18 sq mi)
Roosendaal,1674,North Brabant,"77,244","725/km2 (1,880/sq mi)",106.6 km2 (41.16 sq mi)
Rotterdam,599,South Holland,"655,468","3,001/km2 (7,770/sq mi)",218.82 km2 (84.49 sq mi)
Rozendaal,277,Gelderland,"1,756",63/km2 (160/sq mi),27.7 km2 (10.70 sq mi)
Rucphen,840,North Brabant,"23,326",362/km2 (940/sq mi),64.48 km2 (24.90 sq mi)
Schagen,441,North Holland,"46,833",279/km2 (720/sq mi),167.79 km2 (64.78 sq mi)
Scherpenzeel,279,Gelderland,"10,317","748/km2 (1,940/sq mi)",13.39 km2 (5.17 sq mi)
Schiedam,606,South Holland,"79,644","4,472/km2 (11,580/sq mi)",17.71 km2 (6.84 sq mi)
Schiermonnikoog,88,Friesland,944,22/km2 (57/sq mi),42.23 km2 (16.31 sq mi)
Schouwen-Duiveland,1676,Zeeland,"34,152",149/km2 (390/sq mi),228.8 km2 (88.34 sq mi)
Simpelveld,965,Limburg,"10,425","650/km2 (1,700/sq mi)",16.63 km2 (6.42 sq mi)
Sint-Michielsgestel,845,North Brabant,"29,731","510/km2 (1,300/sq mi)",58.85 km2 (22.72 sq mi)
Sittard-Geleen,1883,Limburg,"91,719","1,167/km2 (3,020/sq mi)",78.81 km2 (30.43 sq mi)
Sliedrecht,610,South Holland,"25,897","2,016/km2 (5,220/sq mi)",12.25 km2 (4.73 sq mi)
Sluis,1714,Zeeland,"23,141",83/km2 (210/sq mi),278.8 km2 (107.65 sq mi)
Smallingerland,90,Friesland,"55,895","477/km2 (1,240/sq mi)",117.77 km2 (45.47 sq mi)
Soest,342,Utrecht,"47,113","1,019/km2 (2,640/sq mi)",46.65 km2 (18.01 sq mi)
Someren,847,North Brabant,"19,701",246/km2 (640/sq mi),80.0 km2 (30.89 sq mi)
